dimensions,rock_chance,grass_grow_back,owls_target_slow_mice,rand_catch,in_medias_res,m_number,m_die_of_hunger,m_preg_time,m_max_age,o_number,o_die_of_hunger,o_preg_time,o_max_age,rand_variance_trait,speed,ticks,sim ver,avg_speed_mouse,avg_speed_owl,non_NA_count_mice,non_NA_count_owls,repetitions,non_NA_fraction_mice,non_NA_fraction_owls,harmonic_mean
10,0,5,True,True,True,50,9,3,0,10,5,5,0,10,True,1000,1,210.0,98.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,3,0,10,6,4,0,10,True,1000,1,398.0,75.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,3,0,10,7,3,0,10,True,1000,1,135.0,84.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,3,0,10,7,5,0,10,True,1000,1,172.0,67.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,3,0,10,8,4,0,10,True,1000,1,243.0,64.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,3,0,10,10,2,0,10,True,1000,1,150.0,56.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,4,0,10,4,3,0,10,True,1000,1,116.0,78.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,4,0,10,5,3,0,5,True,500,1,77.0,58.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,4,0,10,5,3,0,6,True,500,1,89.0,52.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,4,0,10,5,3,0,7,True,500,1,96.0,70.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,4,0,10,5,3,0,10,True,1000,1,138.0,46.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,4,0,10,6,5,0,10,True,1000,1,173.0,58.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,4,0,10,7,4,0,10,True,1000,1,127.0,40.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,4,0,10,8,5,0,10,True,1000,1,126.0,97.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,5,0,10,5,2,0,10,True,1000,1,117.0,96.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,5,0,10,5,3,0,1,True,500,1,86.0,29.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,5,0,10,5,3,0,4,True,500,1,100.0,75.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,5,0,10,7,4,0,10,True,1000,1,196.0,51.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,5,0,10,8,3,0,10,True,1000,1,126.0,84.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,5,0,10,9,5,0,10,True,1000,1,136.0,71.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,5,0,10,10,3,0,10,True,1000,1,141.0,49.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,10,2,0,10,6,2,0,10,True,1000,1,151.0,93.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,10,2,0,10,7,5,0,10,True,1000,1,93.0,81.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,10,2,0,10,9,5,0,10,True,1000,1,153.0,64.0,1,1,1,1.0,1.0,1.0
