dimensions,rock_chance,grass_grow_back,owls_target_slow_mice,rand_catch,in_medias_res,m_number,m_die_of_hunger,m_preg_time,m_max_age,o_number,o_die_of_hunger,o_preg_time,o_max_age,rand_variance_trait,speed,ticks,m_alive,o_alive,sim ver,avg_speed_mouse,avg_speed_owl,non_NA_count_mice,non_NA_count_owls,repetitions,non_NA_fraction_mice,non_NA_fraction_owls
10,0,2,False,True,True,50,3,3,0,10,5,5,0,10,True,500,96,2,1.0,55.0,60.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,5,5,0,10,True,500,100,0,1.0,68.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,5,5,0,10,True,1000,100,0,1.0,41.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,6,2,0,10,True,500,98,1,1.0,56.0,51.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,6,2,0,10,True,500,100,0,1.0,58.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,6,2,0,10,True,1000,95,2,1.0,46.0,84.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,6,3,0,10,True,500,99,1,1.0,48.0,91.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,6,3,0,10,True,500,100,0,1.0,34.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,6,3,0,10,True,1000,97,2,1.0,50.0,81.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,6,4,0,10,True,500,94,2,1.0,51.0,96.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,6,4,0,10,True,500,100,0,1.0,68.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,6,4,0,10,True,1000,98,1,1.0,39.0,88.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,6,5,0,10,True,500,96,2,1.0,49.0,42.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,6,5,0,10,True,500,99,1,1.0,64.0,97.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,6,5,0,10,True,1000,96,2,1.0,84.0,36.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,7,2,0,10,True,500,99,1,1.0,30.0,43.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,7,2,0,10,True,500,100,0,1.0,44.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,7,2,0,10,True,1000,98,1,1.0,48.0,99.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,7,3,0,10,True,500,99,1,1.0,30.0,67.5,2,2,2,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,7,3,0,10,True,1000,99,1,1.0,76.0,58.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,7,4,0,10,True,500,100,0,1.0,39.5,,2,0,2,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,7,4,0,10,True,1000,98,1,1.0,70.0,56.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,7,5,0,10,True,500,100,0,1.0,60.5,,2,0,2,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,7,5,0,10,True,1000,100,0,1.0,54.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,8,2,0,10,True,500,1,0,1.0,74.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,8,2,0,10,True,500,100,0,1.0,67.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,8,2,0,10,True,1000,100,0,1.0,70.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,8,3,0,10,True,500,1,0,1.0,92.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,8,3,0,10,True,500,100,0,1.0,44.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,8,3,0,10,True,1000,99,1,1.0,47.0,61.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,8,4,0,10,True,500,89,3,1.0,59.0,54.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,8,4,0,10,True,500,99,1,1.0,42.0,48.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,8,4,0,10,True,1000,100,0,1.0,54.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,8,5,0,10,True,500,100,0,1.0,38.5,,2,0,2,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,8,5,0,10,True,1000,100,0,1.0,79.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,9,2,0,10,True,500,3,0,1.0,60.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,9,2,0,10,True,500,87,5,1.0,86.0,82.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,9,2,0,10,True,1000,100,0,1.0,50.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,9,3,0,10,True,500,0,0,1.0,,,0,0,1,0.0,0.0
10,0,2,False,True,True,50,3,3,0,10,9,3,0,10,True,500,99,1,1.0,19.0,22.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,9,3,0,10,True,1000,1,0,1.0,70.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,9,4,0,10,True,500,1,0,1.0,79.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,9,4,0,10,True,500,88,5,1.0,61.0,53.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,9,4,0,10,True,1000,100,0,1.0,68.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,9,5,0,10,True,500,100,0,1.0,54.5,,2,0,2,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,9,5,0,10,True,1000,100,0,1.0,66.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,10,2,0,10,True,500,0,0,1.0,,,0,0,2,0.0,0.0
10,0,2,False,True,True,50,3,3,0,10,10,2,0,10,True,1000,0,0,1.0,,,0,0,1,0.0,0.0
10,0,2,False,True,True,50,3,3,0,10,10,3,0,10,True,500,1,0,1.0,69.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,10,3,0,10,True,500,2,0,1.0,47.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,10,3,0,10,True,1000,99,1,1.0,27.0,16.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,10,4,0,10,True,500,1,0,1.0,49.5,,2,0,2,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,10,4,0,10,True,1000,2,0,1.0,55.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,10,5,0,10,True,500,0,0,1.0,,,0,0,1,0.0,0.0
10,0,2,False,True,True,50,3,3,0,10,10,5,0,10,True,500,100,0,1.0,35.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,10,5,0,10,True,1000,0,0,1.0,,,0,0,1,0.0,0.0
10,0,2,False,True,True,50,3,4,0,10,3,2,0,10,True,500,100,0,1.0,49.0,,2,0,2,1.0,0.0
10,0,2,False,True,True,50,3,4,0,10,3,2,0,10,True,1000,100,0,1.0,52.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,4,0,10,3,3,0,10,True,500,100,0,1.0,49.0,,2,0,2,1.0,0.0
10,0,2,False,True,True,50,3,4,0,10,3,3,0,10,True,1000,100,0,1.0,53.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,4,0,10,3,4,0,10,True,500,100,0,1.0,57.0,,2,0,2,1.0,0.0
10,0,2,False,True,True,50,3,4,0,10,3,4,0,10,True,1000,100,0,1.0,53.0,,1,0,1,1.0,0.0
