,dimensions,rock_chance,grass_grow_back,owls_target_slow_mice,rand_catch,in_medias_res,m_number,m_die_of_hunger,m_preg_time,m_max_age,o_number,o_die_of_hunger,o_preg_time,o_max_age,rand_variance_trait,speed,ticks,sim ver,avg_speed_mouse,avg_speed_owl,non_NA_count_mice,non_NA_count_owls,repetitions,non_NA_fraction_mice,non_NA_fraction_owls,harmonic_mean
1187,10,0,5,True,True,True,50,10,2,0,10,9,5,0,10,True,1000,1,153.0,64.0,1,1,1,1.0,1.0,1.0
5,10,0,5,True,True,True,50,3,2,0,10,4,3,0,10,True,1000,1,155.5,49.0,2,2,2,1.0,1.0,1.0
6,10,0,5,True,True,True,50,3,2,0,10,4,4,0,10,True,1000,1,174.0,82.0,2,2,2,1.0,1.0,1.0
7,10,0,5,True,True,True,50,3,2,0,10,4,5,0,10,True,1000,1,216.5,61.0,2,2,2,1.0,1.0,1.0
1179,10,0,5,True,True,True,50,10,2,0,10,7,5,0,10,True,1000,1,93.0,81.0,1,1,1,1.0,1.0,1.0
10,10,0,5,True,True,True,50,3,2,0,10,5,3,0,2,True,500,1,73.0,72.0,1,1,1,1.0,1.0,1.0
11,10,0,5,True,True,True,50,3,2,0,10,5,3,0,3,True,500,1,98.0,84.0,1,1,1,1.0,1.0,1.0
12,10,0,5,True,True,True,50,3,2,0,10,5,3,0,4,True,500,1,124.0,63.0,1,1,1,1.0,1.0,1.0
1172,10,0,5,True,True,True,50,10,2,0,10,6,2,0,10,True,1000,1,151.0,93.0,1,1,1,1.0,1.0,1.0
14,10,0,5,True,True,True,50,3,2,0,10,5,3,0,6,True,500,1,109.0,58.0,1,1,1,1.0,1.0,1.0
15,10,0,5,True,True,True,50,3,2,0,10,5,3,0,7,True,500,1,79.0,71.0,1,1,1,1.0,1.0,1.0
1148,10,0,5,True,True,True,50,9,5,0,10,10,3,0,10,True,1000,1,141.0,49.0,1,1,1,1.0,1.0,1.0
1146,10,0,5,True,True,True,50,9,5,0,10,9,5,0,10,True,1000,1,136.0,71.0,1,1,1,1.0,1.0,1.0
18,10,0,5,True,True,True,50,3,2,0,10,5,3,0,10,True,500,1,83.0,65.0,1,1,1,1.0,1.0,1.0
1140,10,0,5,True,True,True,50,9,5,0,10,8,3,0,10,True,1000,1,126.0,84.0,1,1,1,1.0,1.0,1.0
20,10,0,5,True,True,True,50,3,2,0,10,5,4,0,10,True,1000,1,201.0,79.0,2,2,2,1.0,1.0,1.0
25,10,0,5,True,True,True,50,3,2,0,10,6,5,0,10,True,1000,1,193.0,58.5,2,2,2,1.0,1.0,1.0
59,10,0,5,True,True,True,50,3,3,0,10,5,3,0,9,True,500,1,98.0,93.0,1,1,1,1.0,1.0,1.0
1057,10,0,5,True,True,True,50,9,3,0,10,8,4,0,10,True,1000,1,243.0,64.0,1,1,1,1.0,1.0,1.0
344,10,0,5,True,True,True,50,5,2,0,10,5,3,0,6,True,500,1,112.0,44.0,1,1,1,1.0,1.0,1.0
1028,10,0,5,True,True,True,50,9,2,0,10,10,2,0,10,True,1000,1,139.0,93.0,1,1,1,1.0,1.0,1.0
1008,10,0,5,True,True,True,50,9,2,0,10,5,3,0,10,True,500,1,158.0,87.0,1,1,1,1.0,1.0,1.0
1009,10,0,5,True,True,True,50,9,2,0,10,5,3,0,10,True,1000,1,1281.0,65.0,1,1,1,1.0,1.0,1.0
1011,10,0,5,True,True,True,50,9,2,0,10,5,5,0,10,True,1000,1,244.0,84.0,1,1,1,1.0,1.0,1.0
1042,10,0,5,True,True,True,50,9,3,0,10,5,3,0,8,True,500,1,88.0,81.0,1,1,1,1.0,1.0,1.0
1041,10,0,5,True,True,True,50,9,3,0,10,5,3,0,7,True,500,1,84.0,60.0,1,1,1,1.0,1.0,1.0
1040,10,0,5,True,True,True,50,9,3,0,10,5,3,0,6,True,500,1,113.0,91.0,1,1,1,1.0,1.0,1.0
1038,10,0,5,True,True,True,50,9,3,0,10,5,3,0,4,True,500,1,83.0,41.0,1,1,1,1.0,1.0,1.0
1037,10,0,5,True,True,True,50,9,3,0,10,5,3,0,3,True,500,1,109.0,81.0,1,1,1,1.0,1.0,1.0
1012,10,0,5,True,True,True,50,9,2,0,10,6,2,0,10,True,1000,1,925.0,68.0,1,1,1,1.0,1.0,1.0
1014,10,0,5,True,True,True,50,9,2,0,10,6,4,0,10,True,1000,1,1263.0,49.0,1,1,1,1.0,1.0,1.0
1017,10,0,5,True,True,True,50,9,2,0,10,7,3,0,10,True,1000,1,148.0,96.0,1,1,1,1.0,1.0,1.0
1035,10,0,5,True,True,True,50,9,3,0,10,5,3,0,1,True,500,1,95.0,85.0,1,1,1,1.0,1.0,1.0
1018,10,0,5,True,True,True,50,9,2,0,10,7,4,0,10,True,1000,1,103.0,57.0,1,1,1,1.0,1.0,1.0
1022,10,0,5,True,True,True,50,9,2,0,10,8,4,0,10,True,1000,1,415.0,60.0,1,1,1,1.0,1.0,1.0
1023,10,0,5,True,True,True,50,9,2,0,10,8,5,0,10,True,1000,1,127.0,49.0,1,1,1,1.0,1.0,1.0
1043,10,0,5,True,True,True,50,9,3,0,10,5,3,0,9,True,500,1,94.0,76.0,1,1,1,1.0,1.0,1.0
1027,10,0,5,True,True,True,50,9,2,0,10,9,5,0,10,True,1000,1,939.0,72.0,1,1,1,1.0,1.0,1.0
97,10,0,5,True,True,True,50,3,4,0,10,5,3,0,5,True,500,1,99.0,100.0,1,1,1,1.0,1.0,1.0
78,10,0,5,True,True,True,50,3,3,0,10,9,4,0,10,True,1000,1,233.0,72.0,1,1,1,1.0,1.0,1.0
63,10,0,5,True,True,True,50,3,3,0,10,5,5,0,10,True,1000,1,136.0,77.5,2,2,2,1.0,1.0,1.0
1005,10,0,5,True,True,True,50,9,2,0,10,5,3,0,7,True,500,1,116.0,50.0,1,1,1,1.0,1.0,1.0
66,10,0,5,True,True,True,50,3,3,0,10,6,4,0,10,True,1000,1,148.5,60.5,2,2,2,1.0,1.0,1.0
1055,10,0,5,True,True,True,50,9,3,0,10,7,5,0,10,True,1000,1,172.0,67.0,1,1,1,1.0,1.0,1.0
1006,10,0,5,True,True,True,50,9,2,0,10,5,3,0,8,True,500,1,138.0,53.0,1,1,1,1.0,1.0,1.0
99,10,0,5,True,True,True,50,3,4,0,10,5,3,0,7,True,500,1,96.0,59.0,1,1,1,1.0,1.0,1.0
1053,10,0,5,True,True,True,50,9,3,0,10,7,3,0,10,True,1000,1,135.0,84.0,1,1,1,1.0,1.0,1.0
1007,10,0,5,True,True,True,50,9,2,0,10,5,3,0,9,True,500,1,124.0,48.0,1,1,1,1.0,1.0,1.0
1050,10,0,5,True,True,True,50,9,3,0,10,6,4,0,10,True,1000,1,398.0,75.0,1,1,1,1.0,1.0,1.0
1047,10,0,5,True,True,True,50,9,3,0,10,5,5,0,10,True,1000,1,210.0,98.0,1,1,1,1.0,1.0,1.0
1046,10,0,5,True,True,True,50,9,3,0,10,5,4,0,10,True,1000,1,119.0,46.0,1,1,1,1.0,1.0,1.0
1045,10,0,5,True,True,True,50,9,3,0,10,5,3,0,10,True,1000,1,143.0,30.0,1,1,1,1.0,1.0,1.0
4,10,0,5,True,True,True,50,3,2,0,10,4,2,0,10,True,1000,1,90.5,98.0,2,1,2,1.0,0.5,0.6666666666666666
2,10,0,5,True,True,True,50,3,2,0,10,3,4,0,10,True,1000,1,110.0,96.0,2,1,2,1.0,0.5,0.6666666666666666
9,10,0,5,True,True,True,50,3,2,0,10,5,3,0,1,True,500,1,87.5,48.0,2,1,2,1.0,0.5,0.6666666666666666
61,10,0,5,True,True,True,50,3,3,0,10,5,3,0,10,True,1000,1,102.0,42.0,2,1,2,1.0,0.5,0.6666666666666666
21,10,0,5,True,True,True,50,3,2,0,10,5,5,0,10,True,1000,1,138.0,61.0,2,1,2,1.0,0.5,0.6666666666666666
